# tau rho ord score
5.000 264.000 0.850 324.4969578023063
5.000 268.000 0.850 322.77669627529866
5.000 272.000 0.850 321.31540162791737
5.000 276.000 0.850 319.79202653484094
5.000 280.000 0.850 318.1732236276331
5.000 284.000 0.850 316.4670361359514
5.000 288.000 0.850 314.68141341960273
5.000 292.000 0.850 312.82493829887665
5.000 296.000 0.850 310.90660266085075
5.000 300.000 0.850 308.93555668841276
5.000 304.000 0.850 306.9218729344731
5.000 308.000 0.850 304.8753170831666
5.000 312.000 0.850 302.80606023671163
5.000 316.000 0.850 300.72444061254123
5.000 320.000 0.850 298.64070018533204
5.000 324.000 0.850 296.56573767504835
5.000 328.000 0.850 294.5098698890584
5.000 332.000 0.850 292.5261015125018
5.000 336.000 0.850 290.84005540508934
5.000 340.000 0.850 289.28356953722164
5.000 344.000 0.850 287.8722355195327
5.000 348.000 0.850 286.51502620397184
5.000 352.000 0.850 285.2189423411023
5.000 356.000 0.850 283.9906686331942
5.000 360.000 0.850 282.9056625178249
6.000 0.000 0.850 276.00253701695317
6.000 4.000 0.850 274.8861385491375
6.000 8.000 0.850 273.8454115289099
6.000 12.000 0.850 272.88580009654055
6.000 16.000 0.850 272.01231969385
6.000 20.000 0.850 271.22977667524015
6.000 24.000 0.850 270.5417642335301
6.000 28.000 0.850 269.952060189304
6.000 32.000 0.850 269.46368587362423
6.000 36.000 0.850 269.079111175191
6.000 40.000 0.850 268.8002407432032
6.000 44.000 0.850 268.70722411537486
6.000 48.000 0.850 268.8974537768133
6.000 52.000 0.850 269.21504933966173
6.000 56.000 0.850 269.65808338834006
6.000 60.000 0.850 270.22424551879783
6.000 64.000 0.850 270.98870663120226
6.000 68.000 0.850 272.0445690470879
6.000 72.000 0.850 273.23145936287494
6.000 76.000 0.850 274.54300420900336
6.000 80.000 0.850 275.97263474748365
6.000 84.000 0.850 277.51214213373345
6.000 88.000 0.850 279.15399604735353
6.000 92.000 0.850 280.88985144693703
6.000 96.000 0.850 282.7109868261359
6.000 100.000 0.850 284.60871722188085
6.000 104.000 0.850 286.6441250815429
6.000 108.000 0.850 289.1625236429269
6.000 112.000 0.850 291.7217262306847
6.000 116.000 0.850 294.30949158358936
6.000 120.000 0.850 296.9139039695266
6.000 124.000 0.850 299.52193775296075
6.000 128.000 0.850 302.12178174968443
6.000 132.000 0.850 304.7013488389439
6.000 136.000 0.850 307.24871444654303
6.000 140.000 0.850 309.7521621351312
6.000 144.000 0.850 312.20022718282075
6.000 148.000 0.850 314.5817382006058
6.000 152.000 0.850 316.88585686290054
6.000 156.000 0.850 319.10211584362605
6.000 160.000 0.850 321.2208204263486
6.000 164.000 0.850 323.2315942495423
6.000 168.000 0.850 325.12568524603023
6.000 172.000 0.850 326.89445744362644
6.000 176.000 0.850 328.5298123839612
6.000 180.000 0.850 330.02458384770244
6.000 184.000 0.850 331.37107715008204
6.000 188.000 0.850 332.56336898298093
6.000 192.000 0.850 333.5957933647034
6.000 196.000 0.850 334.463357328578
