# tau rho ord score
6.000 248.000 0.900 371.57191341144465
6.000 252.000 0.900 370.4010027654677
6.000 256.000 0.900 369.0913700433997
6.000 260.000 0.900 367.64920551094997
6.000 264.000 0.900 366.08021772997773
6.000 268.000 0.900 364.39201831987907
6.000 272.000 0.900 362.5924649498848
6.000 276.000 0.900 360.69004404920423
6.000 280.000 0.900 359.0759264044548
6.000 284.000 0.900 357.42785789963943
6.000 288.000 0.900 355.7040223806112
6.000 292.000 0.900 353.91265902548525
6.000 296.000 0.900 352.06241992605163
6.000 300.000 0.900 350.5444208772391
6.000 304.000 0.900 349.036128507455
6.000 308.000 0.900 347.4952208247885
6.000 312.000 0.900 345.9292036434379
6.000 316.000 0.900 344.34576866634467
6.000 320.000 0.900 342.75248938025123
6.000 324.000 0.900 341.1578138858855
6.000 328.000 0.900 339.5695163572525
6.000 332.000 0.900 337.99562727485767
6.000 336.000 0.900 337.053049981116
6.000 340.000 0.900 336.36136083635273
6.000 344.000 0.900 335.6722511193121
6.000 348.000 0.900 334.98912819448185
6.000 352.000 0.900 334.3153962535834
6.000 356.000 0.900 333.65443824820846
6.000 360.000 0.900 333.00959744888496
7.000 0.000 0.900 325.6086570944051
7.000 4.000 0.900 324.87871865148804
7.000 8.000 0.900 324.21615959156327
7.000 12.000 0.900 324.0795338934918
7.000 16.000 0.900 323.95288144753874
7.000 20.000 0.900 323.8373917131695
7.000 24.000 0.900 323.73280896084407
7.000 28.000 0.900 323.6402426965582
7.000 32.000 0.900 323.5602544482324
7.000 36.000 0.900 323.4933370311183
7.000 40.000 0.900 323.4399101396208
7.000 44.000 0.900 323.40031647914213
7.000 48.000 0.900 323.3748184922816
7.000 52.000 0.900 323.36359572656545
7.000 56.000 0.900 323.3667428828767
7.000 60.000 0.900 323.384721405569
7.000 64.000 0.900 323.4165138509122
7.000 68.000 0.900 323.4624401924961
7.000 72.000 0.900 323.5222508898043
7.000 76.000 0.900 323.5956127591094
7.000 80.000 0.900 323.68256424076947
7.000 84.000 0.900 323.7816734037207
7.000 88.000 0.900 324.22861892919457
7.000 92.000 0.900 324.9048557511436
7.000 96.000 0.900 325.6892436169382
7.000 100.000 0.900 326.8844095606838
7.000 104.000 0.900 328.09784631762585
7.000 108.000 0.900 329.32425661210203
7.000 112.000 0.900 330.55783597272864
7.000 116.000 0.900 331.8717982764615
7.000 120.000 0.900 333.6305037389341
7.000 124.000 0.900 335.7674841609297
7.000 128.000 0.900 337.8889223373321
7.000 132.000 0.900 340.4108332064319
