# tau rho ord score
20.400 49.000 1.000 211.10891510080523
20.400 50.000 0.800 61.64248421951468
20.400 50.000 0.820 59.213577617960674
20.400 50.000 0.840 60.001859687094125
20.400 50.000 0.860 66.49240156915565
20.400 50.000 0.880 81.53528940444579
20.400 50.000 0.900 101.80561416363777
20.400 50.000 0.920 122.39350326029722
20.400 50.000 0.940 144.56881854856465
20.400 50.000 0.960 166.74413383683196
20.400 50.000 0.980 188.9194491250993
20.400 50.000 1.000 211.09476441336662
20.400 51.000 0.800 61.78401825793475
20.400 51.000 0.820 60.039048681754274
20.400 51.000 0.840 60.57575187033631
20.400 51.000 0.860 66.62145343716055
20.400 51.000 0.880 81.77495650243215
20.400 51.000 0.900 102.05072824112379
20.400 51.000 0.920 122.38333713387807
20.400 51.000 0.940 144.55843141939718
20.400 51.000 0.960 166.7335257049163
20.400 51.000 0.980 188.90861999043543
20.400 51.000 1.000 211.0837142759545
20.400 52.000 0.800 62.31452940569146
20.400 52.000 0.820 60.90197814387376
20.400 52.000 0.840 61.30735017977376
20.400 52.000 0.860 67.220109831569
20.400 52.000 0.880 82.02009810415679
20.400 52.000 0.900 102.30144124288772
20.400 52.000 0.920 122.58278438161851
20.400 52.000 0.940 144.55096706501908
20.400 52.000 0.960 166.72590253448766
20.400 52.000 0.980 188.90083800395607
20.400 52.000 1.000 211.07577347342462
20.400 53.000 0.800 63.162933431436144
20.400 53.000 0.820 61.8021189982412
20.400 53.000 0.840 62.60481509974626
20.400 53.000 0.860 68.26660151641688
20.400 53.000 0.880 82.27061345152224
20.400 53.000 0.900 102.55765012087501
20.400 53.000 0.920 122.84468679022781
20.400 53.000 0.940 144.54643231991764
20.400 53.000 0.960 166.72127130544783
20.400 53.000 0.980 188.89611029097796
20.400 53.000 1.000 211.07094927650814
20.400 54.000 0.800 64.12848773169432
20.400 54.000 0.820 62.73921285447889
20.400 54.000 0.840 64.04347451605692
20.400 54.000 0.860 69.45937113279537
20.400 54.000 0.880 82.52640093323296
20.400 54.000 0.900 102.81925095444284
20.400 54.000 0.920 123.11210097565272
20.400 54.000 0.940 144.54483258766476
20.400 54.000 0.960 166.7196375363385
20.400 54.000 0.980 188.89444248501223
20.400 54.000 1.000 211.06924743368592
20.400 55.000 0.800 65.18827784160915
20.400 55.000 0.820 63.71298999737574
20.400 55.000 0.840 65.50953710042596
20.400 55.000 0.860 70.89208559207233
20.400 55.000 0.880 82.9410051466799
20.400 55.000 0.900 103.08613901354423
20.400 55.000 0.920 123.38491988051193
20.400 55.000 0.940 144.5461718343713
20.400 55.000 0.960 166.72100527765582
20.400 55.000 0.980 188.89583872094033
20.400 55.000 1.000 211.07067216422485
20.600 35.000 0.800 71.80594461631426
20.600 35.000 0.820 71.41395978535289
20.600 35.000 0.840 73.27671586822709
20.600 35.000 0.860 77.0503042809931
20.600 35.000 0.880 85.61064772086007
20.600 35.000 0.900 100.87731624295905
20.600 35.000 0.920 120.83645201451935
20.600 35.000 0.940 141.2179183626611
20.600 35.000 0.960 162.67967436720053
20.600 35.000 0.980 184.7703134165172
20.600 35.000 1.000 206.86095246583392
